;name;address;e-mail;site;telephone;e_mail
90;La Vapotitheque;81 rue Saint Aubert, 62000, Arras France;;https://www.facebook.com/LaVapotithequeArras/;tel:+33 9 83 29 72 57;mailto:lavapotithequearras@gmail.com?subject=?
91;Friterie Artoipole;Route de Cambrai, Arras France;;;tel:+33 3 21 22 51 50;
92;restaurant del arte, Arras, France;27 bd robert Schumann Zac Arras Val de Scarpe, 62000, Arras France;;http://www.delarte.fr;tel:+33 3 91 20 53 94;
93;Gourmandou;20 Place de la Vacquerie, 62000, Arras France;;;tel:+33 3 21 23 09 39;
94;Mythic Burger;Voie Notre Dame de Lorette, 62000, Arras France;;http://arras-notredame-lorette.mythicburger.com/;tel:+33 3 21 50 60 40;
95;Cook's;4 rue Ernestale, 62000, Arras France;;https://www.facebook.com/Cooks-378526629007675;;
96;Caruso Le;5 rue de la Housse, 62000, Arras France;;;tel:+33 3 21 51 36 92;
97;Le Bhotouc;3 rue Chanzy, 62000, Arras France;;;;
98;Euro Kebab;28 Place des Heros, 62000, Arras France;;;tel:+33 3 21 73 28 39;
99;Les Saveurs du Maroc;60 Grand place, 62000, Arras France;;https://www.facebook.com/Les-Saveurs-du-maroc-308591256246294/;;
100;Asie Royal;62 avenue Winston Churchill, 62000, Arras France;;http://www.asie-royal.com/;tel:+33 3 21 51 23 62;
101;Domino's Pizza;18 rue Leon Gambetta, 62000, Arras France;;https://www.dominos.fr/magasin/arras_62000?y_source=1_MTQ4MjI0MTEtNzY5LWxvY2F0aW9uLndlYnNpdGU%3D;tel:+33 3 21 51 11 00;
102;Atrebate L';91 avenue Fernand Lobbedez, 62000, Arras France;;;tel:+33 3 21 48 64 42;
103;Brussel's Cafe;57 Grand place, 62000, Arras France;;http://brusselscafe-arras.perso.sfr.fr;tel:+33 3 21 58 83 09;
104;Le montecito;169 B route de Bapaume, 62000, Arras France;;http://pizzerialemontecito.wix.com;tel:+33 3 21 55 83 97;
105;la boucherie;114 avenue Winston Churchill, 62000, Arras France;;http://www.la-boucherie.fr/Restaurant/la-boucherie-arras-62/;tel:+33 3 21 59 70 93;mailto:laboucheriearras@orange.fr?subject=?
106;Subway;13 Rue de La Taillerie, 62000, Arras France;;https://restaurants.subway.com/france/arras/13-rue-de-la-taillerie?utm_source=yext-other&utm_medium=local&utm_term=acq&utm_content=36542&utm_campaign=evergreen-2020;tel:+33 3 21 73 84 05;
107;Les Francs Burgers;25 Grand place, 62000, Arras France;;https://www.facebook.com/lesfrancsburgersArras/;tel:+33 3 21 55 90 35;
108;China Express;7 Place du Marechal Foch, 62000, Arras France;;;tel:+33 3 21 71 17 94;
109;Pizza Pai Arras;1 rue Ampere, 62000, Arras France;;http://emporter.pizzapai.fr/arras/;tel:+33 3 21 73 48 10;
110;Presto Pizza;7 rue Laurent Gers, 62223 Saint-Laurent-Blangy, Arras France;;http://www.prestopizza-saintlaurentblangy.fr/;tel:+33 3 21 71 60 60;mailto:nouaili62@gmail.com?subject=?
111;Burger King;Boulevard Robert Schuman Zac Val De Scarpe, 62000, Arras France;;https://www.burgerking.fr/restaurant/arras;tel:+33 3 66 51 00 29;
112;McDonald's;102 avenue Winston Churchill, 62000, Arras France;;http://www.restaurants.mcdonalds.fr/mcdonalds-arras;tel:+33 3 21 23 65 12;
113;Asie Gourmet;49 rue de l Egalite, 62000, Arras France;;https://asiegourmet.business.site/;tel:+33 6 73 64 14 19;
114;Le Pain Gourmand;rue de la Housse 9 a 50 m de la place des Heros, 62000, Arras France;;https://lepaingourmand-bakery.business.site/;tel:+33 3 21 23 17 88;
115;La Friterie Du Carnot;24 boulevard Carnot, 62000, Arras France;;https://www.facebook.com/friterieducarnot.arras/;tel:+33 6 45 42 94 63;mailto:friterie-du-carnot@orange.fr?subject=?
116;Lebadaboom;24 rue de la Taillerie, 62000, Arras France;;;tel:+33 3 21 73 13 22;
117;Monkeys Coffee;5 rue des Balances, 62000, Arras France;;https://www.facebook.com/monkeyscoffeeshop/;tel:+33 6 71 40 55 62;
118;Tomate Cerise Restaurant;Rn 39 Promenade De L Artois, 62000, Arras France;;http://www.menutomate.fr;tel:+33 3 21 07 10 15;mailto:resto.arras@tomate-cerise.com?subject=?
119;Pomme De Pain;Gare D Arras  8 Place du Marechal Foch Arras Station, 62000, Arras France;;http://pommedepain.fr/;tel:+33 3 21 23 57 30;
120;Le Fournil De Claire;33 cours de Verdun, 62000, Arras France;;http://www.lefournildeclaire.fr;tel:+33 3 21 16 88 50;
121;Antalya Kebab Restaurant;101 rue Saint Aubert, 62000, Arras France;;https://www.facebook.com/antalya.arras.kebab/;tel:+33 3 21 24 75 36;mailto:turkol.ozgur@hotmail.com?subject=?
122;La friterie du Carnot;24 boulevard Carnot, 62000, Arras France;;;tel:+33 6 45 42 94 63;mailto:friterie-du-carnot@orange.fr?subject=?
123;Du Nord au Sud;121 rue Foch Rumaucourt, 62860, Arras France;;;tel:+33 6 64 46 98 28;
124;;;;;;
125;;;;;;
126;;;;;;
127;;;;;;
128;;;;;;
129;;;;;;
130;;;;;;
131;;;;;;
132;;;;;;
133;;;;;;
134;;;;;;
135;;;;;;
136;;;;;;
137;;;;;;
138;;;;;;
139;;;;;;
140;;;;;;
141;;;;;;
142;;;;;;
143;;;;;;
144;;;;;;
145;;;;;;
146;;;;;;
147;;;;;;
148;;;;;;
149;;;;;;
150;;;;;;
151;;;;;;
152;;;;;;
153;;;;;;
154;;;;;;
155;;;;;;
156;;;;;;
157;;;;;;
158;;;;;;
159;;;;;;
160;;;;;;
161;;;;;;
162;;;;;;
163;;;;;;
164;;;;;;
165;;;;;;
166;;;;;;
167;;;;;;
168;;;;;;
169;;;;;;
170;;;;;;
171;;;;;;
172;;;;;;
173;;;;;;
174;;;;;;
175;;;;;;
176;;;;;;
177;;;;;;
178;;;;;;
179;;;;;;
180;;;;;;
181;;;;;;
182;;;;;;
183;;;;;;
184;;;;;;
185;;;;;;
186;;;;;;
187;;;;;;
188;;;;;;
189;;;;;;
190;;;;;;
191;;;;;;
192;;;;;;
193;;;;;;
194;;;;;;
195;;;;;;
196;;;;;;
197;;;;;;
198;;;;;;
199;;;;;;
200;;;;;;
201;;;;;;
202;;;;;;
203;;;;;;
204;;;;;;
205;;;;;;
206;;;;;;
207;;;;;;
208;;;;;;
209;;;;;;
210;;;;;;
211;;;;;;
212;;;;;;
213;;;;;;
214;;;;;;
215;;;;;;
216;;;;;;
217;;;;;;
218;;;;;;
219;;;;;;
220;;;;;;
221;;;;;;
222;;;;;;
223;;;;;;
224;;;;;;
225;;;;;;
226;;;;;;
227;;;;;;
228;;;;;;
229;;;;;;
230;;;;;;
231;;;;;;
232;;;;;;
233;;;;;;
234;;;;;;
235;;;;;;
236;;;;;;
237;;;;;;
238;;;;;;
239;;;;;;
240;;;;;;
241;;;;;;
242;;;;;;
243;;;;;;
244;;;;;;
245;;;;;;
246;;;;;;
247;;;;;;
248;;;;;;
249;;;;;;
250;;;;;;
251;;;;;;
252;;;;;;
253;;;;;;
254;;;;;;
255;;;;;;
256;;;;;;
257;;;;;;
258;;;;;;
259;;;;;;
260;;;;;;
261;;;;;;
262;;;;;;
263;;;;;;
264;;;;;;
265;;;;;;
266;;;;;;
267;;;;;;
